age,sex,height_cm,weight_kg,activity_level,goal,target_calories
61,female,177.6,42.0,low,weight_loss,899
44,female,162.7,64.2,low,weight_loss,1220
47,female,178.4,53.3,low,weight_loss,1259
28,female,169.9,76.8,high,weight_loss,2225
30,female,157.5,76.6,medium,muscle_gain,2446
28,female,151.8,46.0,medium,weight_loss,1481
29,male,168.9,64.3,medium,weight_loss,2096
32,female,172.2,69.2,low,weight_loss,1346
51,male,186.0,96.6,medium,muscle_gain,3210
31,male,192.4,87.2,medium,muscle_gain,3281
29,male,169.9,108.7,high,weight_loss,2872
24,female,175.1,73.2,low,maintenance,1913
56,female,172.7,42.0,low,weight_loss,977
57,male,191.8,99.0,high,maintenance,3293
54,female,161.3,72.6,medium,muscle_gain,2217
61,female,184.4,79.5,low,muscle_gain,1959
37,male,169.3,77.9,low,maintenance,2029
34,male,163.7,78.3,medium,weight_loss,2244
57,female,163.2,51.8,low,maintenance,1412
53,male,176.9,62.6,low,maintenance,1749
19,male,180.0,72.9,low,muscle_gain,2295
25,male,180.2,64.0,low,weight_loss,1586
34,female,155.1,67.4,low,maintenance,1672
48,male,181.2,101.9,low,muscle_gain,2469
58,male,175.4,100.0,medium,weight_loss,2538
64,female,184.0,65.7,low,weight_loss,1607
44,male,172.3,93.6,high,maintenance,3173
33,female,172.2,67.2,low,maintenance,1552
19,male,170.1,59.8,medium,muscle_gain,2623
40,female,159.3,61.3,medium,weight_loss,1666
18,female,175.8,67.9,medium,weight_loss,2010
24,female,169.2,66.6,high,muscle_gain,2648
34,male,169.3,84.0,low,maintenance,1879
56,male,171.3,72.2,low,weight_loss,1523
23,male,172.6,67.9,low,weight_loss,1712
23,male,176.8,102.2,high,weight_loss,2938
52,female,170.6,51.9,low,maintenance,1441
26,female,177.9,83.2,high,weight_loss,2466
51,female,155.0,62.5,high,muscle_gain,2189
33,male,193.1,77.6,medium,maintenance,2831
34,female,173.6,83.3,high,weight_loss,2374
63,female,169.3,80.2,low,muscle_gain,1897
61,male,187.6,84.1,medium,weight_loss,2023
24,male,148.8,55.9,low,muscle_gain,1721
44,female,181.0,60.2,medium,maintenance,2128
56,female,171.0,53.0,medium,weight_loss,1415
31,female,164.1,79.9,low,weight_loss,1530
41,female,174.9,53.0,medium,maintenance,1916
48,male,181.6,86.5,low,weight_loss,1858
64,male,183.1,60.3,high,maintenance,2519
39,male,174.1,92.2,high,weight_loss,2774
36,female,172.8,77.7,medium,muscle_gain,2650
26,male,172.2,74.2,low,weight_loss,1754
33,male,175.0,90.6,low,weight_loss,1992
25,male,164.8,65.4,medium,weight_loss,2039
53,female,175.0,71.8,high,weight_loss,2081
43,male,175.1,49.5,low,maintenance,1738
51,male,179.6,73.0,low,maintenance,1922
63,male,173.5,91.3,high,weight_loss,2551
51,female,170.8,56.3,low,muscle_gain,1646
32,male,181.5,62.6,medium,maintenance,2683
47,female,181.8,69.1,low,weight_loss,1495
35,female,181.6,60.6,high,weight_loss,2055
19,female,173.6,87.2,low,maintenance,1951
23,female,157.3,54.2,low,maintenance,1723
59,male,189.5,83.4,low,maintenance,2078
40,male,174.7,60.4,medium,weight_loss,1954
41,male,178.1,91.1,medium,muscle_gain,3208
22,female,174.0,80.6,low,maintenance,1996
27,female,174.2,51.6,medium,muscle_gain,2167
62,female,176.7,87.8,medium,maintenance,2323
30,female,170.6,82.9,low,maintenance,1821
41,female,170.0,56.5,medium,weight_loss,1640
53,male,177.2,76.6,high,muscle_gain,3040
39,male,189.1,77.7,medium,weight_loss,2332
27,male,178.0,104.1,low,weight_loss,2020
48,male,183.5,86.6,low,weight_loss,1895
20,female,177.7,70.8,medium,maintenance,2422
26,male,189.8,45.7,low,weight_loss,1519
62,female,157.9,53.2,medium,muscle_gain,1931
39,female,167.1,50.9,medium,weight_loss,1498
30,male,165.2,69.3,low,weight_loss,1645
25,female,176.8,55.8,low,weight_loss,1294
46,male,180.9,88.6,high,maintenance,3171
57,male,184.0,107.1,medium,weight_loss,2482
19,female,161.5,48.5,low,weight_loss,1254
48,male,172.6,70.0,low,weight_loss,1598
61,male,174.1,77.4,high,weight_loss,2179
20,female,152.0,50.3,high,maintenance,2159
50,male,184.3,67.4,low,weight_loss,1565
22,male,182.5,72.3,high,maintenance,3040
55,female,163.7,67.4,low,weight_loss,1410
55,male,170.0,103.6,low,maintenance,2199
35,male,163.5,77.6,low,maintenance,2074
36,female,172.4,56.8,low,weight_loss,1327
43,female,166.1,81.0,low,weight_loss,1466
53,male,177.1,68.3,high,maintenance,2686
64,female,181.6,61.8,high,maintenance,2195
46,female,183.0,72.1,low,maintenance,1594
29,female,176.4,67.8,medium,weight_loss,1941
64,female,176.6,69.4,low,maintenance,1409
28,male,184.8,57.9,high,weight_loss,2267
63,male,161.3,88.6,medium,maintenance,2256
52,male,187.9,42.0,low,weight_loss,1430
28,male,181.2,87.9,high,weight_loss,2781
41,female,179.5,56.4,medium,weight_loss,1613
24,female,177.7,71.1,low,weight_loss,1630
41,female,161.4,79.3,low,muscle_gain,2043
29,female,175.3,105.0,medium,maintenance,2885
35,female,165.8,52.5,high,weight_loss,1738
43,female,169.1,63.5,high,muscle_gain,2525
18,male,181.7,74.7,high,maintenance,3080
55,female,177.3,42.7,low,weight_loss,1151
27,male,188.6,97.4,medium,muscle_gain,3515
47,male,165.2,79.7,medium,maintenance,2493
63,male,189.8,97.2,medium,maintenance,2851
31,female,170.8,84.5,low,maintenance,1842
27,male,189.8,72.4,low,weight_loss,1964
56,female,168.5,75.1,high,weight_loss,1973
34,female,166.1,58.9,medium,muscle_gain,2262
49,male,182.1,74.1,medium,muscle_gain,2895
23,female,163.2,98.2,low,muscle_gain,2280
33,male,176.3,85.5,low,maintenance,2083
25,female,177.4,76.2,low,muscle_gain,2017
56,female,156.9,70.3,medium,maintenance,1689
22,female,179.0,57.7,low,maintenance,1825
51,male,180.3,112.6,medium,muscle_gain,3367
51,female,174.1,65.5,medium,maintenance,2047
27,male,178.7,105.0,medium,maintenance,3099
51,female,173.7,80.8,medium,maintenance,2181
43,female,155.9,68.5,low,maintenance,1359
28,male,176.7,109.3,high,weight_loss,3160
36,female,174.5,68.6,medium,maintenance,2160
53,female,159.0,71.6,low,weight_loss,1307
51,male,169.4,75.0,medium,maintenance,2323
23,male,168.5,72.1,low,weight_loss,1723
28,female,174.0,42.0,medium,weight_loss,1600
35,female,174.4,79.5,low,weight_loss,1596
20,male,188.5,75.6,high,muscle_gain,3270
38,male,176.5,74.1,medium,weight_loss,2172
45,female,174.9,74.8,medium,maintenance,2161
64,female,162.3,77.5,medium,muscle_gain,2352
23,male,184.7,83.3,low,maintenance,2234
38,female,163.6,74.7,low,weight_loss,1389
47,male,175.1,60.7,medium,weight_loss,2000
28,male,176.8,74.5,low,maintenance,1966
37,female,164.9,50.7,low,maintenance,1303
50,female,168.2,71.8,low,muscle_gain,1692
49,female,178.2,42.0,low,weight_loss,1137
52,male,172.4,78.3,medium,weight_loss,2190
26,female,166.4,47.6,high,maintenance,2054
24,male,181.6,84.5,high,weight_loss,2649
22,male,187.1,97.7,low,weight_loss,2190
29,female,171.6,64.0,medium,weight_loss,1832
23,female,170.6,57.5,low,weight_loss,1250
47,female,163.9,75.1,medium,maintenance,2232
36,male,187.1,47.2,low,weight_loss,1582
43,female,163.4,69.0,low,maintenance,1688
22,male,185.8,80.1,medium,maintenance,2919
25,male,174.3,89.1,low,maintenance,2222
41,male,176.6,70.3,high,weight_loss,2398
31,male,176.1,58.1,medium,muscle_gain,2671
56,male,197.1,64.6,medium,maintenance,2579
28,female,171.8,67.0,low,maintenance,1723
46,male,179.1,86.3,medium,weight_loss,2394
31,male,172.2,76.1,low,maintenance,1981
46,female,164.9,76.0,high,weight_loss,2040
37,male,173.7,58.0,high,maintenance,2577
32,female,173.3,60.5,low,weight_loss,1410
33,male,174.1,82.0,medium,maintenance,2862
23,female,172.1,81.3,high,muscle_gain,2877
63,male,177.1,65.8,high,muscle_gain,2718
56,female,159.3,81.7,low,weight_loss,1552
22,female,170.8,53.8,medium,maintenance,2071
37,male,177.8,77.0,medium,maintenance,2710
25,female,168.5,55.5,low,weight_loss,1467
55,male,167.5,89.4,high,weight_loss,2475
27,female,177.1,56.2,high,weight_loss,1967
29,female,175.0,90.9,medium,maintenance,2635
33,male,171.8,71.2,low,maintenance,1939
38,female,176.7,54.2,medium,weight_loss,1682
39,male,178.6,61.9,medium,maintenance,2418
61,female,171.7,51.3,medium,weight_loss,1483
49,female,162.1,76.6,medium,muscle_gain,2213
45,female,178.1,43.8,low,maintenance,1373
43,male,175.4,75.4,low,muscle_gain,2129
36,male,181.5,75.7,low,maintenance,1906
29,male,178.0,80.6,medium,muscle_gain,2874
52,female,169.9,69.4,medium,muscle_gain,2350
23,male,175.9,50.5,high,weight_loss,2242
49,male,183.4,92.0,high,muscle_gain,3446
45,male,178.5,64.4,medium,maintenance,2393
45,male,175.9,100.7,low,weight_loss,1924
38,female,158.0,48.7,low,maintenance,1258
26,female,175.3,58.0,medium,weight_loss,1877
18,female,164.5,64.6,medium,weight_loss,1763
28,female,161.3,86.8,medium,muscle_gain,2698
43,female,175.4,61.8,low,weight_loss,1320
24,male,168.4,65.1,medium,weight_loss,2237
54,female,157.0,77.1,low,maintenance,1594
33,female,172.1,52.1,medium,muscle_gain,2209
20,female,163.7,51.1,low,weight_loss,1252
45,female,173.6,60.7,medium,muscle_gain,2312
46,male,177.0,88.7,high,weight_loss,2604
51,male,181.5,69.1,medium,weight_loss,1842
20,male,153.6,71.4,medium,weight_loss,1962
51,female,178.2,42.0,medium,maintenance,1637
61,male,169.9,92.1,low,weight_loss,1684
45,male,188.3,61.1,high,weight_loss,2206
54,female,163.6,49.2,low,maintenance,1125
43,female,155.6,56.5,low,weight_loss,1345
53,male,180.0,55.1,medium,maintenance,2113
19,female,160.4,63.0,low,muscle_gain,1765
31,female,168.1,56.7,low,weight_loss,1320
27,female,176.4,63.7,low,weight_loss,1607
32,female,176.2,42.0,low,weight_loss,1263
33,female,165.5,67.4,medium,maintenance,2119
47,male,171.9,68.7,low,maintenance,1881
33,female,177.7,68.2,low,maintenance,1752
30,male,195.7,73.7,low,maintenance,2198
55,female,179.0,65.7,medium,muscle_gain,2334
18,female,184.2,76.2,low,weight_loss,1822
64,female,169.8,57.8,low,muscle_gain,1530
64,male,179.0,79.0,high,maintenance,2794
37,male,179.6,73.3,high,weight_loss,2509
27,female,170.9,77.3,medium,weight_loss,1956
35,female,177.4,76.2,medium,maintenance,2268
22,male,183.3,87.0,high,weight_loss,2862
44,female,179.3,107.0,medium,weight_loss,2430
60,male,163.5,71.6,medium,muscle_gain,2597
42,female,173.0,62.7,low,maintenance,1602
21,male,176.4,75.2,low,weight_loss,1769
56,female,165.4,49.0,low,weight_loss,931
34,female,173.3,72.4,low,maintenance,1852
34,male,177.2,73.4,low,maintenance,2027
52,male,179.1,91.5,medium,muscle_gain,3103
21,male,163.5,101.6,medium,weight_loss,2495
24,female,167.8,59.8,medium,muscle_gain,2265
53,female,173.1,73.9,low,weight_loss,1462
57,female,170.5,68.5,high,maintenance,2294
52,male,171.5,80.9,medium,weight_loss,2318
46,male,181.4,95.0,low,muscle_gain,2423
41,male,171.6,75.1,medium,weight_loss,2164
32,male,177.2,75.3,low,maintenance,1989
30,female,162.5,80.1,low,maintenance,1801
21,male,171.2,64.9,high,weight_loss,2400
23,male,183.4,69.6,low,weight_loss,1871
30,female,174.8,84.5,low,muscle_gain,2087
34,female,163.2,51.9,low,weight_loss,1258
58,female,173.8,74.1,low,maintenance,1821
45,male,163.1,66.0,medium,muscle_gain,2478
57,female,186.1,74.7,low,weight_loss,1413
43,female,171.4,42.0,low,maintenance,1320
29,female,165.7,64.5,low,maintenance,1736
32,male,174.4,86.1,low,maintenance,2218
43,male,188.3,104.9,medium,weight_loss,2656
19,male,172.8,59.2,medium,maintenance,2458
45,male,169.2,83.3,medium,weight_loss,2375
53,male,181.9,64.9,low,maintenance,1757
50,female,169.7,65.7,low,weight_loss,1431
25,male,166.9,93.2,low,weight_loss,1765
46,female,169.6,83.3,high,maintenance,2645
29,female,178.3,50.4,medium,maintenance,2120
47,male,159.0,69.0,low,weight_loss,1521
24,female,174.9,64.0,medium,muscle_gain,2509
62,female,175.1,79.7,low,muscle_gain,1772
23,female,165.6,42.0,medium,weight_loss,1641
32,female,173.7,72.1,high,weight_loss,2255
48,female,173.6,83.0,medium,weight_loss,2088
18,female,190.6,56.5,low,weight_loss,1495
43,male,155.9,73.9,low,maintenance,1958
19,male,188.3,83.7,medium,weight_loss,2644
22,male,182.0,85.1,low,maintenance,2438
34,male,181.4,97.6,low,weight_loss,1793
19,female,152.2,87.6,low,maintenance,1813
22,female,172.1,66.5,low,maintenance,1985
30,female,178.4,78.8,medium,maintenance,2303
44,female,176.5,53.4,low,weight_loss,1401
36,male,183.2,88.7,medium,muscle_gain,3071
27,female,171.2,71.5,low,muscle_gain,2090
60,male,175.2,86.7,medium,weight_loss,2285
63,male,170.9,91.0,low,weight_loss,1691
57,female,167.2,42.0,low,maintenance,1226
30,male,175.8,91.1,medium,weight_loss,2511
26,male,165.1,89.4,low,maintenance,2004
41,female,156.7,71.3,medium,maintenance,2020
40,female,164.8,75.2,medium,maintenance,2225
31,male,171.1,56.9,low,maintenance,1596
44,male,170.8,102.1,low,maintenance,2336
35,male,172.0,71.2,low,muscle_gain,1985
35,male,190.4,73.9,low,weight_loss,1962
61,male,177.9,105.5,low,weight_loss,1822
58,female,168.1,53.6,low,maintenance,1284
26,female,178.0,65.2,high,maintenance,2464
48,female,176.6,103.5,low,maintenance,2146
41,male,173.7,74.4,high,muscle_gain,3059
54,male,186.0,71.5,low,weight_loss,1544
32,male,176.8,63.4,medium,weight_loss,2051
36,male,183.3,80.2,high,weight_loss,2625
20,male,170.7,80.5,medium,maintenance,2814
42,female,184.5,54.7,medium,weight_loss,1742
55,male,178.9,91.9,low,weight_loss,1820
59,female,176.5,57.2,low,weight_loss,1331
29,female,169.0,42.0,low,maintenance,1448
29,female,178.1,73.8,medium,maintenance,2516
29,male,185.2,75.7,low,weight_loss,1827
21,male,179.0,71.8,medium,muscle_gain,3005
25,male,176.3,105.0,low,muscle_gain,2664
31,male,193.1,89.6,low,maintenance,2429
27,female,179.2,74.6,medium,muscle_gain,2663
58,female,163.0,54.9,low,maintenance,1390
44,male,181.3,75.5,medium,maintenance,2554
22,female,186.2,42.7,medium,weight_loss,1730
61,male,161.3,85.4,low,maintenance,1942
35,male,189.9,85.0,high,muscle_gain,3676
45,male,170.5,82.8,medium,weight_loss,2242
49,female,175.1,87.6,high,maintenance,2729
26,female,162.3,84.7,medium,weight_loss,2146
56,male,180.7,86.4,low,muscle_gain,2380
61,male,183.0,68.3,high,maintenance,2691
36,male,171.4,97.3,low,maintenance,2326
53,female,181.3,65.8,low,weight_loss,1320
44,male,176.4,91.6,medium,maintenance,2860
44,female,166.9,42.0,medium,maintenance,1751
54,male,191.3,70.4,medium,muscle_gain,2803
22,male,176.8,98.9,low,maintenance,2383
40,male,170.1,79.2,high,muscle_gain,3246
43,female,168.3,76.3,medium,maintenance,2222
52,male,170.3,100.3,high,weight_loss,2615
44,male,197.1,65.2,low,weight_loss,1804
63,female,169.8,58.8,low,maintenance,1393
61,male,169.9,70.2,low,maintenance,1723
32,female,166.8,63.2,low,weight_loss,1436
19,female,166.3,73.8,low,maintenance,1951
22,male,163.8,86.4,low,maintenance,2218
40,male,166.1,82.0,medium,weight_loss,2293
19,male,167.8,65.6,high,maintenance,2896
41,male,182.0,82.0,medium,muscle_gain,3065
45,female,176.7,83.6,low,maintenance,1897
56,male,180.4,78.4,high,weight_loss,2394
46,female,168.9,67.9,low,weight_loss,1453
54,female,171.4,85.1,low,maintenance,1743
51,male,170.8,77.6,medium,weight_loss,2005
28,male,191.8,73.5,medium,weight_loss,2294
53,male,197.7,99.5,low,maintenance,2298
31,female,178.2,83.2,low,weight_loss,1648
27,male,169.6,85.5,low,maintenance,2151
54,male,168.4,88.9,low,maintenance,2081
59,male,165.1,72.5,medium,weight_loss,1877
42,male,192.0,91.6,medium,muscle_gain,3304
34,male,176.7,74.0,low,weight_loss,1675
35,female,161.9,88.1,low,maintenance,1953
45,female,170.8,67.2,low,maintenance,1588
37,female,169.1,56.0,medium,maintenance,2024
64,female,167.9,75.0,low,maintenance,1659
57,female,162.1,55.0,low,maintenance,1187
18,female,159.0,58.1,low,maintenance,1545
43,female,165.7,46.5,medium,weight_loss,1549
33,female,172.4,76.5,low,weight_loss,1537
59,male,193.4,56.7,high,weight_loss,2256
36,female,162.0,73.9,low,muscle_gain,1880
38,male,178.6,77.6,high,weight_loss,2561
36,male,169.6,72.1,medium,maintenance,2567
33,female,181.4,86.2,low,maintenance,2130
44,female,171.0,62.2,low,maintenance,1622
37,male,202.5,64.8,medium,weight_loss,2406
51,male,182.6,54.2,low,weight_loss,1310
48,female,152.1,48.5,medium,weight_loss,1394
52,female,177.2,77.5,high,muscle_gain,2797
22,male,179.1,74.4,medium,weight_loss,2350
42,female,164.7,57.7,low,maintenance,1488
61,male,184.5,72.2,medium,weight_loss,2032
27,male,178.3,96.0,medium,muscle_gain,3358
49,male,193.1,80.0,medium,weight_loss,2483
51,male,192.6,65.7,low,maintenance,1950
27,male,172.8,70.5,low,maintenance,2008
20,female,167.5,56.6,high,weight_loss,2066
48,male,156.1,55.3,low,maintenance,1491
43,female,180.1,67.3,low,muscle_gain,1896
39,male,181.4,90.2,high,weight_loss,2766
38,female,167.4,42.0,medium,maintenance,1771
37,female,171.5,94.3,medium,weight_loss,2223
35,female,170.2,44.6,high,maintenance,2187
60,female,178.2,66.3,low,muscle_gain,1746
38,female,163.7,65.2,high,weight_loss,1933
40,female,168.4,70.6,medium,maintenance,2279
27,female,182.7,70.1,medium,maintenance,2528
25,male,197.1,73.2,low,weight_loss,2067
21,female,167.3,84.5,medium,maintenance,2394
18,male,174.3,52.4,medium,weight_loss,2073
28,female,167.2,61.1,medium,weight_loss,1739
39,female,178.5,72.3,high,muscle_gain,2649
36,male,190.0,85.6,low,weight_loss,1907
62,male,167.1,68.2,medium,maintenance,2248
45,female,172.9,82.3,high,weight_loss,2217
35,male,177.4,97.6,medium,weight_loss,2483
56,female,167.0,73.8,low,weight_loss,1481
20,female,162.5,54.4,low,maintenance,1466
23,female,166.2,57.6,low,maintenance,1621
44,male,179.4,75.9,low,weight_loss,1733
39,male,171.2,92.0,medium,maintenance,2851
24,male,171.1,79.9,medium,weight_loss,2393
36,female,161.1,70.2,low,muscle_gain,1865
54,male,170.8,82.2,medium,maintenance,2464
28,female,163.7,92.6,medium,muscle_gain,2757
26,male,182.7,65.8,low,muscle_gain,2295
50,female,170.4,77.6,low,maintenance,1650
19,female,179.7,89.6,high,weight_loss,2644
31,female,168.8,55.5,medium,maintenance,2020
30,male,182.4,83.4,high,maintenance,3188
56,male,181.0,89.4,low,weight_loss,1735
27,female,161.0,84.7,medium,maintenance,2571
49,female,194.3,63.8,low,weight_loss,1504
43,male,177.1,104.9,low,muscle_gain,2496
39,female,168.9,58.5,low,weight_loss,1288
35,female,164.4,66.3,high,weight_loss,2040
51,female,172.7,54.7,high,weight_loss,1679
59,male,183.5,93.7,high,maintenance,2953
42,male,179.4,88.8,low,muscle_gain,2262
56,female,174.5,76.7,low,maintenance,1642
18,female,159.1,47.1,low,maintenance,1362
33,female,178.5,48.8,medium,maintenance,1946
44,male,187.3,75.7,low,weight_loss,1719
40,female,172.6,81.3,low,maintenance,1832
24,female,161.8,81.2,low,maintenance,1947
43,female,178.0,87.0,medium,maintenance,2342
24,female,165.3,54.2,low,muscle_gain,1604
33,female,158.4,60.7,medium,weight_loss,1744
55,male,182.4,95.4,low,weight_loss,1767
58,female,163.2,70.6,low,maintenance,1556
24,male,167.2,92.2,low,muscle_gain,2441
45,female,177.7,61.8,low,weight_loss,1500
26,female,167.3,68.5,low,maintenance,1856
52,male,181.2,42.0,medium,maintenance,1945
24,male,175.4,77.5,low,weight_loss,1700
19,female,153.1,56.3,medium,maintenance,2020
26,male,188.4,69.6,medium,maintenance,2795
50,female,161.8,64.0,low,maintenance,1532
42,female,175.0,73.2,medium,maintenance,2267
48,male,194.5,93.2,low,muscle_gain,2566
49,male,183.6,65.9,medium,muscle_gain,2722
24,female,171.1,82.2,high,weight_loss,2307
58,male,184.2,57.5,medium,maintenance,2296
42,male,180.3,88.2,high,muscle_gain,3402
35,female,169.7,42.0,medium,weight_loss,1485
43,female,173.9,51.9,medium,maintenance,1967
21,male,184.3,59.4,medium,maintenance,2565
34,male,170.7,80.9,high,muscle_gain,3181
26,male,156.4,71.3,medium,weight_loss,2076
38,female,151.9,70.0,low,weight_loss,1221
22,male,175.7,84.2,medium,weight_loss,2295
19,male,173.3,79.9,low,muscle_gain,2343
31,male,175.8,83.2,medium,maintenance,2706
34,female,173.4,66.7,medium,maintenance,2160
40,female,156.2,55.9,low,maintenance,1457
35,male,175.9,54.0,high,muscle_gain,2853
31,female,178.4,45.8,medium,maintenance,2081
55,female,169.7,42.0,medium,weight_loss,1347
28,male,178.5,81.6,high,maintenance,3197
36,female,169.1,81.9,medium,maintenance,2409
46,male,182.2,106.3,medium,muscle_gain,3482
38,male,178.9,62.1,low,maintenance,1873
42,male,193.4,107.8,low,maintenance,2468
49,female,167.4,61.1,medium,weight_loss,1645
19,female,175.6,94.2,medium,weight_loss,2282
56,female,162.5,63.8,medium,muscle_gain,1954
24,female,159.0,73.9,high,weight_loss,1977
39,male,185.5,58.4,medium,weight_loss,2091
62,female,174.9,42.0,medium,maintenance,1616
21,male,185.1,93.6,medium,muscle_gain,3484
44,male,180.1,81.3,low,weight_loss,1681
31,female,171.9,87.2,low,maintenance,2042
20,male,182.8,76.6,medium,muscle_gain,2996
64,female,183.2,64.5,low,muscle_gain,1645
28,male,166.8,71.2,high,muscle_gain,3062
32,male,175.6,86.3,low,maintenance,2219
38,male,178.3,75.6,low,weight_loss,1844
34,male,167.4,58.4,high,maintenance,2513
38,female,172.8,73.6,high,maintenance,2500
52,female,163.5,69.5,medium,muscle_gain,2241
60,male,172.8,102.5,high,maintenance,3167
40,male,168.5,94.5,low,muscle_gain,2359
48,female,173.3,75.1,low,weight_loss,1471
